name,role,sentence,true_role
Laporte,Author,"""Imanol has been dropped from the squad because the least I can say is that he didn't make a thundering comeback against Wales,"" said Laporte.",unknown
Dimitri Yachvili,Author,"Dimitri Yachvili (Biarritz), Pierre Mignoni (Clermont), Yann Delaigue (Castres), Frederic Michalak (Stade Toulousain), Damien Traille (Biarritz), Yannick Jauzion (Stade Toulousain), Ludovic Valbon (Biarritz), Christophe Dominici (Stade Francais), Cedric Heymans (Stade Toulousain), Julien Laharrague (Brive)

Sylvain Marconnet (Stade Francais), Nicolas Mas (Perpignan), Olivier Milloud (Bourgoin), Sebastien Bruno (Sale/ENG), William Servat (Stade Toulousain), Fabien Pelous (Stade Toulousain, capt), Jerome Thion (Biarritz), Pascal Pap&#233; (Bourgoin), Gregory Lamboley (Stade Toulousain), Serge Betsen (Biarritz), Julien Bonnaire (Bourgoin), Yannick Nyanga (B&#233;ziers)",unknown
Biarritz,Author,"Dimitri Yachvili (Biarritz), Pierre Mignoni (Clermont), Yann Delaigue (Castres), Frederic Michalak (Stade Toulousain), Damien Traille (Biarritz), Yannick Jauzion (Stade Toulousain), Ludovic Valbon (Biarritz), Christophe Dominici (Stade Francais), Cedric Heymans (Stade Toulousain), Julien Laharrague (Brive)

Sylvain Marconnet (Stade Francais), Nicolas Mas (Perpignan), Olivier Milloud (Bourgoin), Sebastien Bruno (Sale/ENG), William Servat (Stade Toulousain), Fabien Pelous (Stade Toulousain, capt), Jerome Thion (Biarritz), Pascal Pap&#233; (Bourgoin), Gregory Lamboley (Stade Toulousain), Serge Betsen (Biarritz), Julien Bonnaire (Bourgoin), Yannick Nyanga (B&#233;ziers)",unknown
Pierre Mignoni,Author,"Dimitri Yachvili (Biarritz), Pierre Mignoni (Clermont), Yann Delaigue (Castres), Frederic Michalak (Stade Toulousain), Damien Traille (Biarritz), Yannick Jauzion (Stade Toulousain), Ludovic Valbon (Biarritz), Christophe Dominici (Stade Francais), Cedric Heymans (Stade Toulousain), Julien Laharrague (Brive)

Sylvain Marconnet (Stade Francais), Nicolas Mas (Perpignan), Olivier Milloud (Bourgoin), Sebastien Bruno (Sale/ENG), William Servat (Stade Toulousain), Fabien Pelous (Stade Toulousain, capt), Jerome Thion (Biarritz), Pascal Pap&#233; (Bourgoin), Gregory Lamboley (Stade Toulousain), Serge Betsen (Biarritz), Julien Bonnaire (Bourgoin), Yannick Nyanga (B&#233;ziers)",unknown
Yann Delaigue,Author,"Dimitri Yachvili (Biarritz), Pierre Mignoni (Clermont), Yann Delaigue (Castres), Frederic Michalak (Stade Toulousain), Damien Traille (Biarritz), Yannick Jauzion (Stade Toulousain), Ludovic Valbon (Biarritz), Christophe Dominici (Stade Francais), Cedric Heymans (Stade Toulousain), Julien Laharrague (Brive)

Sylvain Marconnet (Stade Francais), Nicolas Mas (Perpignan), Olivier Milloud (Bourgoin), Sebastien Bruno (Sale/ENG), William Servat (Stade Toulousain), Fabien Pelous (Stade Toulousain, capt), Jerome Thion (Biarritz), Pascal Pap&#233; (Bourgoin), Gregory Lamboley (Stade Toulousain), Serge Betsen (Biarritz), Julien Bonnaire (Bourgoin), Yannick Nyanga (B&#233;ziers)",unknown
Frederic Michalak,Author,"Dimitri Yachvili (Biarritz), Pierre Mignoni (Clermont), Yann Delaigue (Castres), Frederic Michalak (Stade Toulousain), Damien Traille (Biarritz), Yannick Jauzion (Stade Toulousain), Ludovic Valbon (Biarritz), Christophe Dominici (Stade Francais), Cedric Heymans (Stade Toulousain), Julien Laharrague (Brive)

Sylvain Marconnet (Stade Francais), Nicolas Mas (Perpignan), Olivier Milloud (Bourgoin), Sebastien Bruno (Sale/ENG), William Servat (Stade Toulousain), Fabien Pelous (Stade Toulousain, capt), Jerome Thion (Biarritz), Pascal Pap&#233; (Bourgoin), Gregory Lamboley (Stade Toulousain), Serge Betsen (Biarritz), Julien Bonnaire (Bourgoin), Yannick Nyanga (B&#233;ziers)",unknown
Damien Traille,Author,"Dimitri Yachvili (Biarritz), Pierre Mignoni (Clermont), Yann Delaigue (Castres), Frederic Michalak (Stade Toulousain), Damien Traille (Biarritz), Yannick Jauzion (Stade Toulousain), Ludovic Valbon (Biarritz), Christophe Dominici (Stade Francais), Cedric Heymans (Stade Toulousain), Julien Laharrague (Brive)

Sylvain Marconnet (Stade Francais), Nicolas Mas (Perpignan), Olivier Milloud (Bourgoin), Sebastien Bruno (Sale/ENG), William Servat (Stade Toulousain), Fabien Pelous (Stade Toulousain, capt), Jerome Thion (Biarritz), Pascal Pap&#233; (Bourgoin), Gregory Lamboley (Stade Toulousain), Serge Betsen (Biarritz), Julien Bonnaire (Bourgoin), Yannick Nyanga (B&#233;ziers)",unknown
Biarritz,Author,"Dimitri Yachvili (Biarritz), Pierre Mignoni (Clermont), Yann Delaigue (Castres), Frederic Michalak (Stade Toulousain), Damien Traille (Biarritz), Yannick Jauzion (Stade Toulousain), Ludovic Valbon (Biarritz), Christophe Dominici (Stade Francais), Cedric Heymans (Stade Toulousain), Julien Laharrague (Brive)

Sylvain Marconnet (Stade Francais), Nicolas Mas (Perpignan), Olivier Milloud (Bourgoin), Sebastien Bruno (Sale/ENG), William Servat (Stade Toulousain), Fabien Pelous (Stade Toulousain, capt), Jerome Thion (Biarritz), Pascal Pap&#233; (Bourgoin), Gregory Lamboley (Stade Toulousain), Serge Betsen (Biarritz), Julien Bonnaire (Bourgoin), Yannick Nyanga (B&#233;ziers)",unknown
Yannick Jauzion (Stade Toulousain,Author,"Dimitri Yachvili (Biarritz), Pierre Mignoni (Clermont), Yann Delaigue (Castres), Frederic Michalak (Stade Toulousain), Damien Traille (Biarritz), Yannick Jauzion (Stade Toulousain), Ludovic Valbon (Biarritz), Christophe Dominici (Stade Francais), Cedric Heymans (Stade Toulousain), Julien Laharrague (Brive)

Sylvain Marconnet (Stade Francais), Nicolas Mas (Perpignan), Olivier Milloud (Bourgoin), Sebastien Bruno (Sale/ENG), William Servat (Stade Toulousain), Fabien Pelous (Stade Toulousain, capt), Jerome Thion (Biarritz), Pascal Pap&#233; (Bourgoin), Gregory Lamboley (Stade Toulousain), Serge Betsen (Biarritz), Julien Bonnaire (Bourgoin), Yannick Nyanga (B&#233;ziers)",unknown
Ludovic Valbon,Author,"Dimitri Yachvili (Biarritz), Pierre Mignoni (Clermont), Yann Delaigue (Castres), Frederic Michalak (Stade Toulousain), Damien Traille (Biarritz), Yannick Jauzion (Stade Toulousain), Ludovic Valbon (Biarritz), Christophe Dominici (Stade Francais), Cedric Heymans (Stade Toulousain), Julien Laharrague (Brive)

Sylvain Marconnet (Stade Francais), Nicolas Mas (Perpignan), Olivier Milloud (Bourgoin), Sebastien Bruno (Sale/ENG), William Servat (Stade Toulousain), Fabien Pelous (Stade Toulousain, capt), Jerome Thion (Biarritz), Pascal Pap&#233; (Bourgoin), Gregory Lamboley (Stade Toulousain), Serge Betsen (Biarritz), Julien Bonnaire (Bourgoin), Yannick Nyanga (B&#233;ziers)",unknown
Christophe Dominici,Author,"Dimitri Yachvili (Biarritz), Pierre Mignoni (Clermont), Yann Delaigue (Castres), Frederic Michalak (Stade Toulousain), Damien Traille (Biarritz), Yannick Jauzion (Stade Toulousain), Ludovic Valbon (Biarritz), Christophe Dominici (Stade Francais), Cedric Heymans (Stade Toulousain), Julien Laharrague (Brive)

Sylvain Marconnet (Stade Francais), Nicolas Mas (Perpignan), Olivier Milloud (Bourgoin), Sebastien Bruno (Sale/ENG), William Servat (Stade Toulousain), Fabien Pelous (Stade Toulousain, capt), Jerome Thion (Biarritz), Pascal Pap&#233; (Bourgoin), Gregory Lamboley (Stade Toulousain), Serge Betsen (Biarritz), Julien Bonnaire (Bourgoin), Yannick Nyanga (B&#233;ziers)",unknown
Julien Laharrague,Author,"Dimitri Yachvili (Biarritz), Pierre Mignoni (Clermont), Yann Delaigue (Castres), Frederic Michalak (Stade Toulousain), Damien Traille (Biarritz), Yannick Jauzion (Stade Toulousain), Ludovic Valbon (Biarritz), Christophe Dominici (Stade Francais), Cedric Heymans (Stade Toulousain), Julien Laharrague (Brive)

Sylvain Marconnet (Stade Francais), Nicolas Mas (Perpignan), Olivier Milloud (Bourgoin), Sebastien Bruno (Sale/ENG), William Servat (Stade Toulousain), Fabien Pelous (Stade Toulousain, capt), Jerome Thion (Biarritz), Pascal Pap&#233; (Bourgoin), Gregory Lamboley (Stade Toulousain), Serge Betsen (Biarritz), Julien Bonnaire (Bourgoin), Yannick Nyanga (B&#233;ziers)",unknown
Nicolas Mas,Author,"Dimitri Yachvili (Biarritz), Pierre Mignoni (Clermont), Yann Delaigue (Castres), Frederic Michalak (Stade Toulousain), Damien Traille (Biarritz), Yannick Jauzion (Stade Toulousain), Ludovic Valbon (Biarritz), Christophe Dominici (Stade Francais), Cedric Heymans (Stade Toulousain), Julien Laharrague (Brive)

Sylvain Marconnet (Stade Francais), Nicolas Mas (Perpignan), Olivier Milloud (Bourgoin), Sebastien Bruno (Sale/ENG), William Servat (Stade Toulousain), Fabien Pelous (Stade Toulousain, capt), Jerome Thion (Biarritz), Pascal Pap&#233; (Bourgoin), Gregory Lamboley (Stade Toulousain), Serge Betsen (Biarritz), Julien Bonnaire (Bourgoin), Yannick Nyanga (B&#233;ziers)",unknown
Perpignan,Author,"Dimitri Yachvili (Biarritz), Pierre Mignoni (Clermont), Yann Delaigue (Castres), Frederic Michalak (Stade Toulousain), Damien Traille (Biarritz), Yannick Jauzion (Stade Toulousain), Ludovic Valbon (Biarritz), Christophe Dominici (Stade Francais), Cedric Heymans (Stade Toulousain), Julien Laharrague (Brive)

Sylvain Marconnet (Stade Francais), Nicolas Mas (Perpignan), Olivier Milloud (Bourgoin), Sebastien Bruno (Sale/ENG), William Servat (Stade Toulousain), Fabien Pelous (Stade Toulousain, capt), Jerome Thion (Biarritz), Pascal Pap&#233; (Bourgoin), Gregory Lamboley (Stade Toulousain), Serge Betsen (Biarritz), Julien Bonnaire (Bourgoin), Yannick Nyanga (B&#233;ziers)",unknown
William Servat,Author,"Dimitri Yachvili (Biarritz), Pierre Mignoni (Clermont), Yann Delaigue (Castres), Frederic Michalak (Stade Toulousain), Damien Traille (Biarritz), Yannick Jauzion (Stade Toulousain), Ludovic Valbon (Biarritz), Christophe Dominici (Stade Francais), Cedric Heymans (Stade Toulousain), Julien Laharrague (Brive)

Sylvain Marconnet (Stade Francais), Nicolas Mas (Perpignan), Olivier Milloud (Bourgoin), Sebastien Bruno (Sale/ENG), William Servat (Stade Toulousain), Fabien Pelous (Stade Toulousain, capt), Jerome Thion (Biarritz), Pascal Pap&#233; (Bourgoin), Gregory Lamboley (Stade Toulousain), Serge Betsen (Biarritz), Julien Bonnaire (Bourgoin), Yannick Nyanga (B&#233;ziers)",unknown
Pascal,Author,"Dimitri Yachvili (Biarritz), Pierre Mignoni (Clermont), Yann Delaigue (Castres), Frederic Michalak (Stade Toulousain), Damien Traille (Biarritz), Yannick Jauzion (Stade Toulousain), Ludovic Valbon (Biarritz), Christophe Dominici (Stade Francais), Cedric Heymans (Stade Toulousain), Julien Laharrague (Brive)

Sylvain Marconnet (Stade Francais), Nicolas Mas (Perpignan), Olivier Milloud (Bourgoin), Sebastien Bruno (Sale/ENG), William Servat (Stade Toulousain), Fabien Pelous (Stade Toulousain, capt), Jerome Thion (Biarritz), Pascal Pap&#233; (Bourgoin), Gregory Lamboley (Stade Toulousain), Serge Betsen (Biarritz), Julien Bonnaire (Bourgoin), Yannick Nyanga (B&#233;ziers)",unknown
Serge Betsen,Author,"Dimitri Yachvili (Biarritz), Pierre Mignoni (Clermont), Yann Delaigue (Castres), Frederic Michalak (Stade Toulousain), Damien Traille (Biarritz), Yannick Jauzion (Stade Toulousain), Ludovic Valbon (Biarritz), Christophe Dominici (Stade Francais), Cedric Heymans (Stade Toulousain), Julien Laharrague (Brive)

Sylvain Marconnet (Stade Francais), Nicolas Mas (Perpignan), Olivier Milloud (Bourgoin), Sebastien Bruno (Sale/ENG), William Servat (Stade Toulousain), Fabien Pelous (Stade Toulousain, capt), Jerome Thion (Biarritz), Pascal Pap&#233; (Bourgoin), Gregory Lamboley (Stade Toulousain), Serge Betsen (Biarritz), Julien Bonnaire (Bourgoin), Yannick Nyanga (B&#233;ziers)",unknown
Biarritz,Author,"Dimitri Yachvili (Biarritz), Pierre Mignoni (Clermont), Yann Delaigue (Castres), Frederic Michalak (Stade Toulousain), Damien Traille (Biarritz), Yannick Jauzion (Stade Toulousain), Ludovic Valbon (Biarritz), Christophe Dominici (Stade Francais), Cedric Heymans (Stade Toulousain), Julien Laharrague (Brive)

Sylvain Marconnet (Stade Francais), Nicolas Mas (Perpignan), Olivier Milloud (Bourgoin), Sebastien Bruno (Sale/ENG), William Servat (Stade Toulousain), Fabien Pelous (Stade Toulousain, capt), Jerome Thion (Biarritz), Pascal Pap&#233; (Bourgoin), Gregory Lamboley (Stade Toulousain), Serge Betsen (Biarritz), Julien Bonnaire (Bourgoin), Yannick Nyanga (B&#233;ziers)",unknown
Julien Bonnaire,Author,"Dimitri Yachvili (Biarritz), Pierre Mignoni (Clermont), Yann Delaigue (Castres), Frederic Michalak (Stade Toulousain), Damien Traille (Biarritz), Yannick Jauzion (Stade Toulousain), Ludovic Valbon (Biarritz), Christophe Dominici (Stade Francais), Cedric Heymans (Stade Toulousain), Julien Laharrague (Brive)

Sylvain Marconnet (Stade Francais), Nicolas Mas (Perpignan), Olivier Milloud (Bourgoin), Sebastien Bruno (Sale/ENG), William Servat (Stade Toulousain), Fabien Pelous (Stade Toulousain, capt), Jerome Thion (Biarritz), Pascal Pap&#233; (Bourgoin), Gregory Lamboley (Stade Toulousain), Serge Betsen (Biarritz), Julien Bonnaire (Bourgoin), Yannick Nyanga (B&#233;ziers)",unknown
Yannick Nyanga,Author,"Dimitri Yachvili (Biarritz), Pierre Mignoni (Clermont), Yann Delaigue (Castres), Frederic Michalak (Stade Toulousain), Damien Traille (Biarritz), Yannick Jauzion (Stade Toulousain), Ludovic Valbon (Biarritz), Christophe Dominici (Stade Francais), Cedric Heymans (Stade Toulousain), Julien Laharrague (Brive)

Sylvain Marconnet (Stade Francais), Nicolas Mas (Perpignan), Olivier Milloud (Bourgoin), Sebastien Bruno (Sale/ENG), William Servat (Stade Toulousain), Fabien Pelous (Stade Toulousain, capt), Jerome Thion (Biarritz), Pascal Pap&#233; (Bourgoin), Gregory Lamboley (Stade Toulousain), Serge Betsen (Biarritz), Julien Bonnaire (Bourgoin), Yannick Nyanga (B&#233;ziers)",unknown
Barclays,Author,"UK banking icon Barclays was founded more than 300 years ago; it has operations in over 60 countries and employs 76,200 staff worldwide.",unknown
Barclays,Author,"In 2003, Barclays reported a 20% rise in pre-tax profits to Â£3.8bn, and it has recently forecast similar gains in 2004, predicting that full year pre-tax profits would rise 18% to Â£4.5bn.",unknown
Labour,Author,But that does not mean Labour and the Tories are not calling people signed up to the TPS.,unknown
Phil Jones,Politician,Assistant information commissioner Phil Jones said it was classed as marketing if political parties telephoned people to encourage them to vote for them.,unknown
Mr Jones,Author,"""If a party is calling someone who is registered on TPS and records their voting intention with a view to using this information in the future, this should be clear to the voter concerned,"" said Mr Jones.",unknown
Jones,Author,"Mr Jones said the watchdog received ""very few complaints"" on the issue.

",unknown
Lib Dem,Author,"Earlier, Lib Dem chairman Matthew Taylor wrote to the watchdog saying: ""The advice we have received on several previous occasions is that such phone calls are illegal.""",unknown
Matthew Taylor,Author,"Earlier, Lib Dem chairman Matthew Taylor wrote to the watchdog saying: ""The advice we have received on several previous occasions is that such phone calls are illegal.""",unknown
Lib Dem,Author,"He says evidence from local Lib Dem parties around the country suggests there are ""significant"" numbers of such calls.",unknown
Taylor,Author,Mr Taylor argues there should be new guidelines so all parties can act in the same way if the watchdog believes the rules allow parties to ring TPS numbers about voting intentions and later urge those people to vote for them.,unknown
Glenn Hoddle,Author,"Wolves appoint Hoddle as manager

Glenn Hoddle has been unveiled as the new Wolves manager.

",unknown
Dave Jones,Author,"The ex-England coach has been given a six-month contract to succeed Dave Jones, who was sacked after the club's poor start to the season.",unknown
Rick Hayward,Author,"Wolves chairman Rick Hayward said: ""We're delighted Glenn is here.",unknown
Glenn,Author,"Wolves chairman Rick Hayward said: ""We're delighted Glenn is here.",unknown
Stuart Gray,Author,"Hoddle, who will work alongside Stuart Gray, has been out of the game since he was sacked by Spurs in 2003.",unknown
Hoddle,Author,"Gray, who has been caretaker manager, was assistant boss when Hoddle was manager at Southampton.",unknown
Hoddle,Author,"""I'm delighted to be here,"" said Hoddle.

",unknown
Premiership,Author,"""I saw the massive potential that Wolves have got and their desire and amibition to get back into the Premiership parallels my ambitions.",unknown
Stuart Gray,Author,"""Stuart Gray has done a fantastic job as caretaker manager.",unknown
Jez Moxey,Business Executive,Wolves chief executive Jez Moxey defended the decision to give Hoddle a short-term contract.,unknown
Glenn,Author,"""For somebody of Glenn's calibre to come in on a short-term contract and put his reputation on the line, it demonstrates his commitment and self-belief and the potential he thinks is here.""",unknown
Hoddle,Author,Hayward revealed that Hoddle was one of the first to be approached after Jones' departure.,unknown
Jones,Author,Hayward revealed that Hoddle was one of the first to be approached after Jones' departure.,unknown
Hoddle,Author,"""

Hoddle began his managerial career as player-boss with Swindon before moving on to Chelsea and then taking up the England job.",unknown
Jones,Author,"The 47-year-old later returned to management with Southampton, where he again succeeded Jones - as he has now done at Wolves.",unknown
Hantuchova,Author,"Hantuchova in Dubai last eight

Daniela Hantuchova moved into the quarter-finals of the Dubai Open, after beating Elene Likhotseva of Russia 7-5 6-4, and now faces Serena Williams.

",unknown
Daniela Hantuchova,Author,"Hantuchova in Dubai last eight

Daniela Hantuchova moved into the quarter-finals of the Dubai Open, after beating Elene Likhotseva of Russia 7-5 6-4, and now faces Serena Williams.

",unknown
Elene Likhotseva,Author,"Hantuchova in Dubai last eight

Daniela Hantuchova moved into the quarter-finals of the Dubai Open, after beating Elene Likhotseva of Russia 7-5 6-4, and now faces Serena Williams.

",unknown
Serena Williams,Author,"Hantuchova in Dubai last eight

Daniela Hantuchova moved into the quarter-finals of the Dubai Open, after beating Elene Likhotseva of Russia 7-5 6-4, and now faces Serena Williams.

",unknown
Williams,Author,Australian Open champion Williams survived an early scare to beat Russia's Elena Bovina 1-6 6-1 6-4.,unknown
Elena Bovina 1-6,Author,Australian Open champion Williams survived an early scare to beat Russia's Elena Bovina 1-6 6-1 6-4.,unknown
Jie Zheng,Author,"Davenport defeated China's Jie Zheng 6-2 7-5, while French Open champion Myskina sailed through after her opponent Marion Bartoli retired hurt.",unknown
Myskina,Author,"Davenport defeated China's Jie Zheng 6-2 7-5, while French Open champion Myskina sailed through after her opponent Marion Bartoli retired hurt.",unknown
Conchita Martinez,Author,"American Davenport will now face fellow former Wimbledon champion, Conchita Martinez of Spain, who ousted seventh-seeded Nathalie Dechy of France 6-1 6-2.",unknown
Nathalie Dechy,Author,"American Davenport will now face fellow former Wimbledon champion, Conchita Martinez of Spain, who ousted seventh-seeded Nathalie Dechy of France 6-1 6-2.",unknown
Patty Schnyder,Author,"Myskina will face eighth-seed Patty Schnyder from Switzerland, who defeated China's Li Na 6-3 7-6 (10-8).",unknown
Li Na 6-3,Author,"Myskina will face eighth-seed Patty Schnyder from Switzerland, who defeated China's Li Na 6-3 7-6 (10-8).",unknown
Williams,Musician,Williams was also far from content.,unknown
Hantuchova,Author,"But Hantuchova is in upbeat mood ahead of her clash with the younger Williams sister, who was handed a first-round bye.",unknown
Williams,Author,"But Hantuchova is in upbeat mood ahead of her clash with the younger Williams sister, who was handed a first-round bye.",unknown
Luton,Author,"The judicial review will centre on government plans for expansion at Heathrow, Stansted and Luton airports.",unknown
Groups,Author,"Groups challenging the plans include Stop Stansted Expansion, Heathrow anti-noise campaigners HACAN Clearskies and the London boroughs of Hillingdon and Wandsworth.",unknown
Wandsworth,Author,"Groups challenging the plans include Stop Stansted Expansion, Heathrow anti-noise campaigners HACAN Clearskies and the London boroughs of Hillingdon and Wandsworth.",unknown
Glasgow,Author,"At Heathrow, Gatwick, Edinburgh and Glasgow airports, BAA launched a series of consultations on blight to properties from the proposed expansion in September 2004, which will close next week.",unknown
Peter Sanders,Author,"""We do not underestimate the scale of the challenge before us because the courts have never before overturned a government White Paper,"" said Stop Stansted Expansion chairman Peter Sanders said.",unknown
John Stewart,Author,"HACAN chairman John Stewart said: ""Almost exactly a year ago the government published its 30-year aviation White Paper with much fanfare.",unknown
Sullivan,Author,A judgement from Mr Justice Sullivan is expected early in February.,unknown
Marley,Author,"'My memories of Marley...'

To mark the 60th anniversary of the birth of reggae star Bob Marley, Rob Partridge - Marley's former head of press at Island Records - remembers the man behind the legend.

",unknown
Bob Marley,Author,"'My memories of Marley...'

To mark the 60th anniversary of the birth of reggae star Bob Marley, Rob Partridge - Marley's former head of press at Island Records - remembers the man behind the legend.

",unknown
Rob Partridge - Marley's,Author,"'My memories of Marley...'

To mark the 60th anniversary of the birth of reggae star Bob Marley, Rob Partridge - Marley's former head of press at Island Records - remembers the man behind the legend.

",unknown
Partridge,Musician,"Partridge worked with Marley from 1977 until the Jamaican musician's death in 1981.

",Musician
Marley,Musician,"Partridge worked with Marley from 1977 until the Jamaican musician's death in 1981.

",Musician
Exodus,Musician,"""

: The album Exodus came out in 1977 and that provided five hits and confirmed his global superstar status.",unknown
Bob,Author,"""

: Bob was one of the most mesmeric people I've ever had the privilege to work with.",unknown
Bob,Author,Bob was a very driven individual.,unknown
Bob,Musician,"""Bob was a good player.",unknown
Bob,TV Personality,But Bob in the 1990s became one of the great icons in America and the Third World.,unknown
Bob,Author,"""We saw Black America taking Bob into their hearts for the first time.",unknown
Bob,Musician,"""

: ""Bob, in worldwide terms, is the greatest music star there has ever been.",unknown
John Lennon,Musician,"If you went to Africa he would be recognised everywhere, in places John Lennon or Elvis wouldn't be.",unknown
Elvis,Musician,"If you went to Africa he would be recognised everywhere, in places John Lennon or Elvis wouldn't be.",unknown
Stevie Wonder,Musician,"""

: Well 1981 was to be the year he toured Africa with Stevie Wonder.",unknown
Bob,Author,"""

: ""Bob was endlessly optimistic about the way Africa would turn out.",unknown
Redemption Song - one,Musician,"""

: ""The final tune of his final album was Redemption Song - one of the most incredible classics of all time.""",unknown
Richard Mawrey,Author,"Deputy High Court Judge Richard Mawrey, QC told the hearing at the Birmingham and Midlands Institute the case could have potentially serious consequences for any forthcoming General Election.

",unknown
QC,Author,"Deputy High Court Judge Richard Mawrey, QC told the hearing at the Birmingham and Midlands Institute the case could have potentially serious consequences for any forthcoming General Election.

",unknown
Muhammad Afzal,Author,"The case against Muhammad Afzal, Mohammed Islam and Mohammed Kazi is being brought by local Liberal Democrat supporters.",unknown
Mohammed Islam,Author,"The case against Muhammad Afzal, Mohammed Islam and Mohammed Kazi is being brought by local Liberal Democrat supporters.",unknown
Mohammed Kazi,Author,"The case against Muhammad Afzal, Mohammed Islam and Mohammed Kazi is being brought by local Liberal Democrat supporters.",unknown
Ravi Sukul,Author,"Ravi Sukul, counsel for the petitioners, accused the three men of being ""deeply involved"" in illegal practices.",unknown
Sukul,Author,"Mr Sukul said: ""When (the officers) arrived there, in the middle of the night, they saw a large room with a 10ft long table and six Asian men present.",unknown
Mawrey,Author,"Interrupting Mr Sukul in his opening, Mr Mawrey said: ""What you are saying is, these men were operating a vote-forging factory on an industrial estate.""",unknown
Mawrey,Author,Mr Mawrey is due to deliver a judgment in their case once the Aston petition has been heard.,unknown
Afzal,Author,"Mr Afzal, Mr Islam and Mr Kazi deny conspiring to commit election fraud to deceive the returning officer.",unknown
Kazi,Author,"Mr Afzal, Mr Islam and Mr Kazi deny conspiring to commit election fraud to deceive the returning officer.",unknown
Yukos,Author,"US to rule on Yukos refuge call

Yukos has said a US bankruptcy court will decide whether to block Russia's impending auction of its main production arm on Thursday.

",unknown
Yukos,Author,"US to rule on Yukos refuge call

Yukos has said a US bankruptcy court will decide whether to block Russia's impending auction of its main production arm on Thursday.

",unknown
Letitia Clark,Author,"However, Judge Letitia Clark said the hearing would continue on Thursday when arguments in the case would be heard.",unknown
Yukos,Author,"Russian authorities are due to auction off Yuganskneftegas on 19 December to pay a huge tax bill sent to Yukos.

",Author
Yukos,Author,"Russian prosecutors are forcing the sale of the firm's most lucrative asset Yuganskneftegas to help pay a $27bn (Â£14bn) back tax bill, which they claim is owed by Yukos.

",unknown
Yukos,Author,"Filing for bankruptcy protection in the US was ""a last resort to preserve the rights of our shareholders, employees and customers,"" said Yukos chief executive Steven Theede.",unknown
Steven Theede,Author,"Filing for bankruptcy protection in the US was ""a last resort to preserve the rights of our shareholders, employees and customers,"" said Yukos chief executive Steven Theede.",unknown
Zack Clement,Author,"""We are here to stop 60% of our body from being cut off on Sunday,"" Zack Clement, a lawyer for Yukos, told Judge Clark in an emergency hearing in Houston, Texas, on Wednesday.",unknown
Yukos,Author,"""We are here to stop 60% of our body from being cut off on Sunday,"" Zack Clement, a lawyer for Yukos, told Judge Clark in an emergency hearing in Houston, Texas, on Wednesday.",unknown
Clark,Author,"""We are here to stop 60% of our body from being cut off on Sunday,"" Zack Clement, a lawyer for Yukos, told Judge Clark in an emergency hearing in Houston, Texas, on Wednesday.",unknown
Yukos,Author,"Yukos asked the Houston court to order Russia to arbitration so that it can press claims for billions of dollars in damages over a ""campaign of illegal, discriminatory and disproportionate"" tax claims.",unknown
Clement,Author,"Mr Clement said that under Russian law, the Russian government was obliged to enter into arbitration as set out in international law.

",unknown
Yukos,Author,He added that the opening bid for the firm's Yuganskneftgas unit was $8bn - less than half of the $20bn that Yukos advisers say it is worth.,unknown
Yukos,Author,"Yukos maintains that the forced auction is illegal and ""will cause the company to suffer immediate and irreparable harm.""",unknown
